index,ablation,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std
0,B1_NO_DOY_SIN,CatBoost,test,20.13054871666355,0.16479912526386867,28.706799994133906,0.15298356048183684,0.6511022672587915,0.006058038814299385
1,B1_NO_DOY_SIN,CatBoost,train,18.244976592748813,0.24211577403458204,27.57545502015928,0.28542644384790655,0.7048729870437649,0.007404842189080985
2,B1_NO_DOY_SIN,CatBoost,val,22.218548997756425,0.06725315366456465,31.164556867763608,0.03691604548545496,0.5719030141401821,0.0025099037746882844
3,B2_NO_DOY_COS,CatBoost,test,18.425524790362644,0.08140718193930119,25.830755969969335,0.04936702894185167,0.7271434725478549,0.0017731241006606808
4,B2_NO_DOY_COS,CatBoost,train,17.079674226939748,0.2605251728611277,25.557604066545945,0.3317568542619805,0.7494490524023796,0.007548848589661515
5,B2_NO_DOY_COS,CatBoost,val,20.19546198987366,0.061477613247999996,28.299315046727244,0.05694727479017376,0.6583162729222477,0.0020463187079650703
6,B3_NO_LAT_NORM,CatBoost,test,20.073277384052357,0.03131413686268889,28.034004921279347,0.11775843318589894,0.6701406509316277,0.0023017837215035734
7,B3_NO_LAT_NORM,CatBoost,train,17.80714416752501,0.6069078132047808,26.52059108716584,0.7216232607867367,0.7269082901689815,0.018031857510033986
8,B3_NO_LAT_NORM,CatBoost,val,21.256605532155948,0.04932083163879183,29.422412738188484,0.03298474719204135,0.6241146153622307,0.0021981808907082204
9,B4_NO_LAI,CatBoost,test,18.366480704632163,0.008348020153816919,26.00417818687318,0.0515514967211677,0.7234011056478528,0.003053743268861103
10,B4_NO_LAI,CatBoost,train,18.411760816137857,0.18137972537873734,27.325327823393206,0.23834454513183245,0.7069017503296576,0.006205022879706328
11,B4_NO_LAI,CatBoost,val,20.478209875521127,0.021378277353947726,28.59040678102438,0.054157435618806975,0.651049100025637,0.00048320946428648124
12,B5_NO_SM,CatBoost,test,18.0324021718767,0.14828135478463944,25.45816535913973,0.20823330949501437,0.734629971405682,0.0029563760434585897
13,B5_NO_SM,CatBoost,train,16.545005188443294,0.9914986868149107,24.921405706386253,1.1570338527252688,0.7627184947233587,0.024915604851463935
14,B5_NO_SM,CatBoost,val,20.046580631977886,0.09532769923434005,28.17822143460354,0.04786199744084266,0.6620258133460615,0.0014290966824694273
15,B6_NO_LST,CatBoost,test,18.324883400044857,0.11755488257355638,25.763773824832725,0.03969634894189312,0.7278736695573874,0.0046466886029959235
16,B6_NO_LST,CatBoost,train,17.03712283549741,0.5488995222344994,25.425098562056643,0.6667546220164283,0.7528159594482168,0.014668853485203621
17,B6_NO_LST,CatBoost,val,20.300742986595775,0.0831353028683315,28.34636242082316,0.11176725110721855,0.6560614174834142,0.0030330468499528617
18,B7_NO_HVEG,CatBoost,test,18.17943319181796,0.1770238793031111,25.84884482899945,0.18403570376211245,0.7160593687650505,0.004662337126011733
19,B7_NO_HVEG,CatBoost,train,17.689369860965307,0.6616819728741409,26.374003033393702,0.791533080222432,0.7287594235891998,0.019426112341996444
20,B7_NO_HVEG,CatBoost,val,20.475438513966008,0.08615471254872314,28.907121585883473,0.14309795093128733,0.6423048628654832,0.0045784118260421836
21,FULL_S6,CatBoost,test,18.005758323766454,0.15954118049390514,25.435482803326035,0.24883295281205864,0.7374218959826347,0.0032188779978184353
22,FULL_S6,CatBoost,train,16.944452947077526,0.6564606597879427,25.374361674715562,0.7733217100596824,0.7532779447688459,0.016788092123513867
23,FULL_S6,CatBoost,val,20.054091895409865,0.08417150969558436,28.147688888947414,0.09294410233185388,0.6635733374969788,0.002812741177338612
24,NO_CONS,CatBoost,test,19.104130045354946,0.30080950312397275,27.774106568718665,0.5014761860301968,0.6526902644423294,0.009202940304758276
25,NO_CONS,CatBoost,train,18.50678396393202,1.1636720900232054,27.235922657327226,1.43190190494875,0.700397488841216,0.03256843910667172
26,NO_CONS,CatBoost,val,17.55938320884586,0.17097679174957667,26.078097648055046,0.26135308489351783,0.5235084479404368,0.016838138779652147
