FT,is_consistent,n,lfmc_mean,lfmc_std,split
Tree,True,19064,113.79422752005284,36.43856020048018,train
Mix,True,5212,118.17671383551382,38.46159403802111,train
Tree,False,5108,112.57063155833647,26.995548516341646,train
Shrub,True,3300,100.67107556005614,42.52426663892719,train
Mix,False,3112,123.17133865755146,37.09150388927204,train
Shrub,False,2399,91.40928768153945,29.98286890598929,train
Herb,True,172,82.4250697693884,72.21336982637247,train
Herb,False,68,145.74035848296677,84.08531159164282,train
Tree,True,2819,110.70305306783018,29.34924469726469,val
Tree,False,733,110.27496904382778,22.392177599359783,val
Mix,True,639,116.43482555660016,29.77512814011132,val
Mix,False,208,129.54325554414189,40.62608986532959,val
Shrub,False,197,107.40355329949239,32.78634978474431,val
Shrub,True,163,103.93047034764827,34.228994720035395,val
Herb,True,59,96.97799982898256,62.85197655139407,val
Herb,False,3,216.33333333333334,51.189191567491406,val
Tree,True,2197,119.21264616462857,35.053950000116274,test
Mix,True,741,102.62990750792964,30.157650893474234,test
Tree,False,281,109.4354885818746,23.82565200820422,test
Shrub,True,224,100.48008931299854,34.23117759594245,test
Mix,False,218,107.19757918161928,24.951609429378767,test
Shrub,False,196,79.88302034808407,25.678763303008086,test
Herb,True,77,170.79834252058353,75.40502776055047,test
Herb,False,10,95.0745,59.938009617808,test
