index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std
0,FINAL_S6_LITE_PROD,MoE_ResNetMLP,test,20.28211212158203,,27.480897903442383,,0.6401315281038751,
1,FINAL_S6_LITE_PROD,MoE_ResNetMLP,train,19.379899978637695,,27.752792358398438,,0.6787669861076088,
2,FINAL_S6_LITE_PROD,MoE_ResNetMLP,val,20.26531410217285,,28.188936233520508,,0.6534076124035857,
3,FINAL_S6_LITE_PROD,ResNetMLP,test,18.930038452148438,,26.383758544921875,,0.6974172395678057,
4,FINAL_S6_LITE_PROD,ResNetMLP,train,19.874982833862305,,28.63287353515625,,0.6572338740401417,
5,FINAL_S6_LITE_PROD,ResNetMLP,val,20.2518310546875,,28.65734100341797,,0.64172747616792,
6,FINAL_S6_LITE_PROD,TabNet,test,18.089881896972656,,25.094221115112305,,0.7172750727980293,
7,FINAL_S6_LITE_PROD,TabNet,train,18.587812423706055,,27.12679672241211,,0.6949380256621656,
8,FINAL_S6_LITE_PROD,TabNet,val,19.674406051635742,,27.66608238220215,,0.6711021292339179,
